train_end_idx,train_end_date,mae_ml,rmse_ml,smape_ml,mae_naive,mae_seasonal
437,2025-04-21 00:00:00,10.151211336379374,12.42107942913374,7.241503417218549,29.46829687678483,12.139556110113869
451,2025-05-05 00:00:00,10.68520818830926,13.545480624544822,7.571061967688221,20.204954902208375,11.31197019812832
465,2025-05-19 00:00:00,10.247070943752503,13.650695655182101,6.868049851659734,25.236342823078704,13.767516511861986
479,2025-06-02 00:00:00,8.790713341005803,10.43067602523483,5.79492069456983,15.810643777674215,9.659668521806472
493,2025-06-16 00:00:00,11.953608132130357,16.891617617256454,8.196274878606367,15.286334561622109,15.134584369042983
507,2025-06-30 00:00:00,10.39649450932104,13.027758051095507,6.87320211949809,17.494467756220104,16.41002981079863
521,2025-07-14 00:00:00,10.125193413894433,13.182534799444316,6.534637933106503,29.5434577941236,10.144250268664567
535,2025-07-28 00:00:00,9.323649751036083,12.141571607487078,5.890118601148924,13.401951726668868,11.535249093138631
549,2025-08-11 00:00:00,8.07764734587211,9.498041669093436,4.883924309305419,15.738225658988066,8.79096222035923
563,2025-08-25 00:00:00,9.366726270119955,12.110791929751946,5.82631309414425,26.125151525728047,11.386974273798529
577,2025-09-08 00:00:00,10.013851754470542,11.77121857826849,6.055307526396665,12.518326780125117,12.383166920595718
591,2025-09-22 00:00:00,10.857626084518225,14.085927241088138,6.357789113740804,14.91303786068553,11.589264779831131
605,2025-10-06 00:00:00,14.133542681796428,15.762462921825588,8.36982692877236,16.675845869276795,10.22392408842521
619,2025-10-20 00:00:00,10.828542098035667,12.968819394122177,6.062131851609628,15.413597642936802,11.718416361123985
633,2025-11-03 00:00:00,8.975902599545137,12.668579960082646,4.831766515783744,35.861607732124185,16.683206628692723
647,2025-11-17 00:00:00,12.284526398062585,14.960936929073986,6.765050388671587,35.605072925675174,14.136598629308528
661,2025-12-01 00:00:00,12.722318274473603,14.633872316910992,7.0744417624384495,15.662774201377982,13.71416383246307
675,2025-12-15 00:00:00,10.966296110268342,14.55485173302766,5.830638249042912,19.76689479136195,14.120584441966551
689,2025-12-29 00:00:00,12.221961181139775,15.613773441538491,6.456218570397716,21.920915487986274,10.355609258363984
703,2026-01-12 00:00:00,10.612614223063165,13.470908314878374,5.565945318380612,20.03815095606273,7.846747080899198
